Word,Entropy
raise,5.878302956493171
slate,5.855819244109515
crate,5.835215982633282
irate,5.832798880940905
trace,5.830429108079757
arise,5.8210234592829115
stare,5.80688862224977
snare,5.768678157325958
arose,5.767804897087288
least,5.751562008954044
alert,5.7442111889917635
crane,5.741011320165298
stale,5.738263819559774
saner,5.733998546845608
alter,5.713372336368845
later,5.7072872147747775
react,5.696507075549462
trade,5.683921221818492
leant,5.683771188478659
learn,5.652071208685768
roast,5.648431350783486
cater,5.648077618641169
aisle,5.635641642534595
trice,5.634291214967139
parse,5.630156106670123
scare,5.628408586744338
saute,5.622136469693717
heart,5.612255574516924
alone,5.6112819733074915
store,5.610713777559604
alien,5.607061114370461
share,5.605482704800807
grate,5.6047210710495
trail,5.593026690437362
siren,5.583845673538044
snore,5.577479792805563
caste,5.571255323961434
scale,5.563910699552496
atone,5.557454213254543
dealt,5.556164141615794
train,5.5529298468479045
renal,5.5528794995567425
plate,5.549894639384547
spare,5.549571447797366
clear,5.547450519432378
rinse,5.546185296262675
trial,5.538016935437211
solar,5.536945045928281
teary,5.535467398635832
shale,5.534500704764712
glare,5.530269109066344
pearl,5.526194184691448
stole,5.520214920281409
lance,5.517859349784818
stair,5.517320564951876
sonar,5.5160823718858945
canoe,5.514715531974432
tenor,5.512274265687147
crone,5.511593461135514
slice,5.511094657018499
taper,5.510731078664039
saint,5.5095388110541625
route,5.500778240784805
slant,5.492894363021006
tread,5.492115187959259
cleat,5.489422897356738
hater,5.486107120439382
blare,5.486044168394809
tried,5.481492792992092
steal,5.480910737390981
rouse,5.4738607499449135
plane,5.469476544808341
paler,5.465493640171359
loser,5.465312696390802
suite,5.461338253902717
tripe,5.460259278266673
crest,5.460207662676907
shear,5.455430856465423
great,5.452072779098322
sauce,5.450699755993675
shire,5.446799769446684
large,5.444680674047586
tamer,5.443269730191807
stone,5.437915024013526
noise,5.437553542587057
adore,5.434850993952365
lapse,5.430417867523894
score,5.430138131305711
trope,5.429282518528874
close,5.427638071462524
table,5.424744549624114
paste,5.423384514537076
horse,5.422079565531041
shore,5.42095042599868
truce,5.4173940252059465
leapt,5.4171084013262
earth,5.415427531501212
grace,5.414855010608605
risen,5.414603745935209
cause,5.410047227701636
aider,5.401911579147156
liner,5.401809933568492
drone,5.398303867644632
haste,5.397508067929169
lathe,5.396170711055797
carol,5.390655203708905
prose,5.389757152439059
yeast,5.388287086452309
brace,5.388203150410667
coast,5.385023153746124
clone,5.382912073668946
snarl,5.382804522544462
slain,5.382028401130772
spear,5.381130000093251
place,5.379099703719447
prone,5.3747875689677045
flare,5.3733545479713225
beast,5.372571022193974
realm,5.372178848086325
spire,5.371719517051858
satin,5.367209639208004
cadet,5.366649099189518
pleat,5.366593937023637
range,5.366515592567699
cairn,5.366075447753735
panel,5.365459011308028
meant,5.364453560084483
layer,5.3610328818884545
plier,5.359925660388844
leash,5.359286242106588
drape,5.357989312855898
stern,5.357984078678918
louse,5.35628262800828
urine,5.353589674430594
yearn,5.35297530088768
ratio,5.351355244310684
coral,5.349398416363141
tonal,5.3483065986455385
slide,5.347685761739007
snort,5.347268488147342
tribe,5.343809559998213
resin,5.342352966321437
arson,5.341245373690035
since,5.34050296021379
inert,5.339379039559706
clean,5.339066363864465
spore,5.33841450650841
lager,5.336683560265131
talon,5.335676270362989
snail,5.335182890284401
curse,5.335018155882452
cedar,5.334608744840709
triad,5.333485977297274
baler,5.332516581398931
salon,5.332514289752448
caper,5.330958422031464
their,5.329055629077323
stage,5.326712920670716
petal,5.324753213230229
enact,5.323893406721707
inlet,5.322781479078946
cruel,5.318053994587367
early,5.317580997012499
trash,5.317499986055722
price,5.317382878627214
smear,5.316396863706967
nurse,5.3149490275029665
laden,5.314855326196403
poise,5.3147261537810575
merit,5.310415747791617
islet,5.305513111978627
inter,5.305467880485703
baste,5.304690860304448
relay,5.304386077287884
spite,5.301199133583712
space,5.298102065057976
ramen,5.297076918920413
onset,5.296696142225693
heist,5.29613155013268
reach,5.292867611872597
those,5.292455795071533
dance,5.292143185423266
safer,5.292102243649777
cried,5.291803470194719
tapir,5.290559548162504
slope,5.289572265048204
sedan,5.28565189655059
pause,5.284753372774716
feast,5.284333574723998
outer,5.283972373822807
chase,5.283209966891617
peril,5.279773606186745
haute,5.278798676104679
stein,5.278120454911602
utile,5.2780159916323495
stain,5.27600043711353
tilde,5.275795285260069
slime,5.2749697613744235
grade,5.274356744723238
shine,5.272087032401772
spiel,5.270483227738673
shalt,5.270149258696775
agile,5.268849825748908
false,5.268453128915502
hotel,5.266941799498856
chore,5.260915266641409
regal,5.260572229431375
trend,5.260065391539159
eclat,5.259340353919471
water,5.2587347038022765
penal,5.258589943730717
farce,5.258262271655139
poser,5.257489871003645
shone,5.257051780120202
brine,5.254980120240422
teach,5.2544318456824035
anode,5.253772778850849
plait,5.253211897260576
heard,5.252432576997798
scone,5.25203076133539
cable,5.251872286477451
timer,5.250122062095976
borne,5.249577627174494
afire,5.248637269328012
taker,5.2475284001012845
grape,5.247309826001407
droit,5.246960013024892
drain,5.246618001063991
satyr,5.246280240550205
metal,5.244663392254327
smart,5.2432585226832185
grant,5.242673255586661
tiger,5.241763246781527
write,5.241178368087263
acute,5.236593164102713
delta,5.235866161792474
polar,5.235743224949379
diner,5.2341637479432945
bleat,5.232640182554796
smile,5.230827560903171
skate,5.229919084888963
smite,5.229032058363311
forte,5.227465931068336
crime,5.2274058740641145
wrote,5.219825730133149
artsy,5.218202991144533
actor,5.216654459962809
argue,5.216576079549331
remit,5.215448969343166
camel,5.213508957601339
scant,5.211768879113219
cutie,5.2107548755233095
sober,5.209851967048015
shade,5.207998774538806
slept,5.203281664827205
motel,5.202262491514397
grail,5.200497914802599
chart,5.200346710487446
purse,5.198383331948632
stead,5.197394332130204
spine,5.192206679911036
aside,5.191856633166496
phase,5.191584392307606
cream,5.191287487368035
feral,5.190563020103873
anger,5.189321273813294
smote,5.189314862675656
snide,5.189179098741288
paint,5.185385759679865
shape,5.185133915664413
short,5.183383501067851
nicer,5.182719323531341
plant,5.181169874574693
cheat,5.180961406014955
angle,5.18082534895914
anime,5.1782217172438605
alike,5.177813553306451
snipe,5.177013822685478
older,5.176441355774197
leach,5.17616105549428
worse,5.175021452957739
loath,5.1749823350129445
lithe,5.1746319368583995
waste,5.173989986951048
court,5.171907701641044
spelt,5.171690626885516
shirt,5.171476669397438
miser,5.170524589787065
heron,5.170367548900961
prune,5.168965640776695
swear,5.168456662970025
rainy,5.1678206282073935
unite,5.167526291892287
payer,5.167078272893784
pride,5.1652827822891645
goner,5.164989232186845
crept,5.164582326460584
pried,5.164418376468028
ripen,5.164363392588257
crave,5.163205052927666
relic,5.163127768714439
salty,5.1610515737968
stake,5.159314660274014
death,5.158971406367807
molar,5.15672715952146
glade,5.155879615339591
cider,5.155727214134359
acorn,5.155276155390064
scent,5.15352749167128
stray,5.153169383921089
sepia,5.152826047913556
valet,5.1525040383467955
salve,5.150131462779843
brute,5.149158727064335
recut,5.148318157835132
spade,5.146444754648557
lunar,5.144713276981637
beard,5.143825772805662
after,5.142562091002879
boast,5.1405264612507295
ready,5.1401681886513435
gloat,5.139478921993485
angel,5.137114686868097
chair,5.136667158556862
drake,5.135206592809233
shame,5.134955085487862
swore,5.133158717380435
snake,5.133075125746666
harem,5.132142964291155
carve,5.130888006315979
metro,5.1300423401332225
shoal,5.129406527245087
moral,5.128006143286007
recap,5.1276582772362485
surge,5.1272830899049495
miner,5.12662027655625
print,5.125447996848414
horde,5.12468339270444
grain,5.12414712623694
style,5.12267104517123
royal,5.121777024676074
super,5.121018667020179
blast,5.120061798093614
spice,5.119856437946156
sport,5.117631755274367
unset,5.116421787502517
trove,5.114740277249378
barge,5.114311352137086
blade,5.11340604911036
manor,5.113363791536633
nadir,5.1116629264683695
decal,5.11089816007587
glean,5.110895396657257
crust,5.109628961318279
wrest,5.106447148595741
flier,5.105467014358199
smelt,5.1048209397792315
email,5.104033677183736
maple,5.103991540965193
untie,5.103258665983976
strap,5.101305211100957
groan,5.101196787216843
house,5.099504549481004
crash,5.099438732766665
comet,5.0991838421501345
copse,5.097197996592672
singe,5.096638995673321
tease,5.095737772674355
bloat,5.095590411641323
rouge,5.09532787270168
roach,5.094483595623831
gruel,5.0943764598100945
brain,5.094137962016193
sweat,5.093927269082773
rifle,5.092986016385743
abort,5.092671748172644
steam,5.091717797614738
filet,5.091642303756262
fetal,5.091132058267948
reign,5.089870551158825
agent,5.087045141930306
taken,5.08571459715622
avert,5.08567917855774
rayon,5.085477199824471
crude,5.0854113748059016
chose,5.084856878866388
splat,5.084754825602602
spent,5.084718619839485
tidal,5.082976343939938
pulse,5.0822129306749355
ulcer,5.081959027959212
prime,5.081368380710868
gayer,5.0796101317247055
tower,5.077442780716045
hoist,5.0772476511068145
facet,5.075191785280718
opera,5.075132504467867
sower,5.074520248164662
torus,5.073220496943432
skier,5.072251446441525
labor,5.071936220395836
plain,5.071417023331599
staid,5.070872254842307
guile,5.070078307459999
erase,5.069717625838203
giant,5.069269616823117
debar,5.0687423177504805
cameo,5.068125483817901
dream,5.06797222512153
alive,5.066754165526358
serif,5.064645600968632
ultra,5.064606590121935
stave,5.064439572438219
frame,5.062013815526714
refit,5.059878290659237
olden,5.058772591367003
force,5.058197090670471
idler,5.057742471545852
decor,5.056892500142631
rogue,5.055966657901748
credo,5.055225939710955
radio,5.054418908754688
erupt,5.052472208657307
frail,5.050894968308691
bread,5.049981321930944
adorn,5.049962063267979
plied,5.048917433962656
baron,5.048518223733796
bathe,5.048499839555114
pedal,5.048469065543689
repay,5.048437682351818
amuse,5.048229432325638
thorn,5.047635001515902
other,5.047598782486903
gripe,5.046980147357446
flair,5.0463676508222655
raven,5.043239811933582
sloth,5.040517492851527
lease,5.03903523213467
hoard,5.038622038745284
pecan,5.036706013394591
gamer,5.036513371008342
bride,5.036392904625327
shied,5.033982270631626
ocean,5.0336488698816835
mealy,5.031668097685887
stand,5.031582719291662
mouse,5.0306916522172695
filer,5.030305288815352
craft,5.030105680218205
dirge,5.029339127470464
trawl,5.0286755805061
rivet,5.0281492292490455
boule,5.02744315549757
apron,5.027405945870528
retch,5.02664583722424
grope,5.026425442875173
moist,5.025482177743446
snout,5.024989361665722
dairy,5.024379912798317
tuber,5.02432721051781
towel,5.0216769932026395
matey,5.020343066608397
story,5.0200382245619934
opine,5.019594145123625
creak,5.019342810585986
blame,5.019035429556831
point,5.018935491889254
ideal,5.0177817964533835
shorn,5.0173979263888295
spilt,5.017126457897291
guise,5.016454711258328
treat,5.016155512344607
chant,5.016102595776253
scorn,5.016075832911029
plead,5.015535372881669
meaty,5.015237478452955
ashen,5.013025573650729
waist,5.01255963958633
noble,5.012317603592615
delay,5.01176124113338
ounce,5.010797441323463
pesto,5.0104910603134325
diary,5.005588783695071
bluer,5.004524376657533
party,5.004062807175248
tardy,5.000344593928709
ankle,4.9980073500013855
clout,4.997730515235475
solid,4.997202427240162
terse,4.997164372989584
grime,4.995226497066229
pilot,4.994283567221261
elate,4.993164724696616
brake,4.992552916126143
shard,4.992197737090697
daunt,4.991136390346434
scary,4.990889444419102
probe,4.990472820627308
broil,4.986344480776548
twine,4.985795426393485
ascot,4.9851359353748
sugar,4.984284830409587
swine,4.983964428484841
serum,4.9837125466013585
trite,4.983492812713924
hairy,4.983164757013349
wiser,4.981850957738595
scope,4.9816430015418485
cigar,4.980378686218994
clash,4.977190611498073
float,4.9770657125177165
nosey,4.9763107161055995
weary,4.975199481422973
finer,4.9751290799164405
naive,4.974875874950634
whale,4.974500988793243
posit,4.9741498758851135
choir,4.973242695554531
voter,4.972920377683256
abuse,4.972120749558892
ranch,4.971271617219495
savor,4.969629430395361
frost,4.967325133730298
medal,4.966702363346715
patio,4.96642038858541
faint,4.965913563249394
octal,4.964969594216954
intro,4.964773944801766
organ,4.9621042535399615
lower,4.961897934360088
count,4.961057501048147
chest,4.960810539930652
ovate,4.960758302671986
north,4.96073391249596
solve,4.9601554737540905
shake,4.9596857804639445
phone,4.959277513359461
slang,4.957641875434564
torch,4.956885562383931
prude,4.956520623999311
orbit,4.956159079377018
spied,4.955775458667144
haunt,4.954335644053739
clued,4.95392545656043
ridge,4.953315063862509
rebut,4.953132290006279
clasp,4.951830104030174
ample,4.951236595036848
scour,4.949814942961795
strip,4.9493015936977995
entry,4.9477154429046095
eater,4.947699664716087
melon,4.947480456688695
wrist,4.947396492665673
cargo,4.945546896528857
glide,4.944599720988464
split,4.942430798031845
groin,4.942168407217276
bagel,4.942018681901581
crony,4.940477174079174
worst,4.939587652033818
latte,4.939249134431575
stark,4.938298003077445
craze,4.938293256399875
irony,4.937719007358793
stoke,4.937691762939528
front,4.937661496307487
steak,4.935593328767631
piano,4.935242747843439
mince,4.93519708005291
grout,4.933894660891444
board,4.933732061100756
peach,4.933110744054945
sharp,4.932419643524641
homer,4.932217830089239
spoil,4.931935421076836
guest,4.930409097993959
grave,4.928091564360035
first,4.927573377661452
basil,4.927520502957076
sleet,4.92723566581265
marsh,4.927078657261316
aloft,4.926641351918752
setup,4.926056547272825
chute,4.925787498429501
